Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Toilets,Date Listed,Prices
Newly Spacious Selfcon With 24/7 Solar Power And Each Room With Prepaid Meter @elesekan Ibejulekki,Lakowe Ajah Lagos,Standard Flat / Apartment,Ajah,Lagos,1,1,1.0,2026-06-23,700000
Luxury 3 Bedroom Apartment+bq+pool+gym,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-05-25,39999999
Reasonably Priced 3 Bedroom Apartment+bq+ 24hrs Power,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-05-25,22000000
New & Luxury 5 Bedroom Detached House + Bq+ Rooftop Swimming Pool+elevator Etc,Banana Island Estate Banana Island Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-05-25,136555308
Premium 4 Bedroom Terrace House +bq+pool,Banana Island Estate Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-05-25,40000000
Fresh Self Serviced 5 Bedroom Detached House+ Bq,Parkview Estate Ikoyi Parkview Estate Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,5,5,6.0,2026-05-26,65000000
Serviced Luxury 4 Bedroom Townhouse Styled Property + Bq+pool+gym+garden Etc,Old Ikoyi Old Ikoyi Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,4.0,2026-05-26,65000000
Serviced & Furnished / Unfurnished 3 Bedroom Apartment+bq+ 24hrs Power,Parkview Estate Ikoyi Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-05-26,24999999
Serviced 3rd Floor 2 Bedroom Apartment With 24hours Power,Parkview Estate Ikoyi Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,3.0,2026-05-26,20000000
Luxury 3 Bedroom Apartment + Study + Bq+gym+pool+tennis Court Etc,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-01,30000000
Luxury Ground Floor 3 Bedroom Apartment + Bq+pool+gym Etc,Old Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-05-06,35000000
Premium Medium Sized 5 Bedroom Terrace+bq+pool,Banana Island Estate Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,5,5,6.0,2026-06-04,65000000
Luxury 4 Bedroom Apartment + Bq+gym+pool+kids Play Area Etc,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,4,4,5.0,2026-06-07,40000000
Centrally Located Luxury 3 Bedroom Apartment +bq+tennis Court+pool Etc,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-08,60000000
Luxury 3 Bedroom Apartment With Excellent Views +bq+furniture+swimming Pool+gym Etc,Off Awolowo Road Ikoyi Ikoyi South West Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-09,54676800
Premium 3 Bedroom Apartment In The Heart Of The City,Off Adeola Odeku Street Adeola Odeku Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,4.0,2026-06-09,30000000
Newly Built Luxury 5 Bedroom Terrace House +bq+pool Etc,Parkview Estate Ikoyi Parkview Estate Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,5,5,6.0,2026-06-09,59999999
Luxury 3 Bed Apartment On 2 Floors+bq+gym+pool+kids Play Area Etc In A Mini Estate,Old Ikoyi Old Ikoyi Ikoyi Lagos,Other,Ikoyi,Lagos,3,3,4.0,2026-06-09,35000000
Fully Detached 6 Bedroom House + 2bq,Parkview Estate Ikoyi Parkview Estate Ikoyi Lagos,Terraced Duplex,Ikoyi,Lagos,6,6,7.0,2026-06-09,80000000
Reasonably Priced 3 Bedroom Apartment+furniture+bq+pool Etc X 2yrs Minimum,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,4.0,2026-06-09,25000000
Premium 4 Bedroom Terrace House+bq+pool+private Garage+garden Etc,Banana Island Estate Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,5.0,2026-06-10,60000000
Luxury 2 Bedroom Apartment + Bq+pool+gym In Central Ikoyi,Old Ikoyi Old Ikoyi Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,3.0,2026-06-11,35000000
Spacious 2bedroom Flat,Living Faith Church. Dawaki Abuja Phase 3,Detached / Semi-Detached Duplex,Phase,Abuja,2,2,3.0,2026-03-29,3000000
Luxury & Upgraded 5 Bedroom Terrace House +bq+pool,Banana Island Estate Banana Island Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,5,5,6.0,2026-06-19,65000000
