Title,Address,Property Type,Location,State,Bedrooms,Bathrooms,Date Listed,Prices
Spacious 2 Bedroom Apartment,Badore Ajah Lagos,Detached / Semi-Detached Duplex,Ajah,Lagos,2,2,2026-06-23,2300000
2bedroom Flat,Garki Abuja Garki 1 Abuja,Detached / Semi-Detached Duplex,1,Abuja,2,2,2026-06-23,5500000
Luxury 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Luxury Apartment,Lekki,Lagos,2,2,2026-03-17,25000000
Mini Flat With Extra Room,"Abijo Estate, Abijo, Ajah, Lagos Ajah Lagos",Mini Flat,Ajah,Lagos,1,2,2026-06-22,1000000
Spacious Ensuit Room In A Flat,Ado Odo Ota Ogun,Detached / Semi-Detached Duplex,Ota,Ogun,1,1,2026-06-04,180000
A Spacious Self Contain With Seat Out Space,Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,1,1,2026-06-17,1600000
3 Bedroom Apartment,Oniru Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,3,3,2026-03-07,35000000
2bed Apartment..,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,4,2026-03-08,40000000
22units Of 3beds..,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,4,2026-05-03,35000000
Furnished 3 Bedroom Penthouse,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-05-20,40000000
3bedroom Flat With Room Bq,"Jahi Gilmore, Jahi, Abuja Jahi Abuja",Detached / Semi-Detached Duplex,Jahi,Abuja,3,4,2026-06-15,9000000
Furnished Studio Apartment For Rent,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-05,3500000
4 Bedroom Terrace Duplex With Bq,Ikoyi Lagos,Self Contain / Shared Room,Ikoyi,Lagos,4,4,2026-03-08,50000000
Luxury 3 Bedroom Apartment,Parkview Estate Ikoyi Lagos,Luxury Apartment,Ikoyi,Lagos,3,4,2026-04-17,25000000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-03-27,20000000
Furnished 2 Bedroom For Rent In Banana Island,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2026-05-31,40000000
3 Bedroom Apartment Upstairs With Bq & Pool,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-04-06,60000000
4units Of 2beds..,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,2,3,2026-06-09,17000000
Serviced 3bedroom Flat,"Lekki Phase 1 By Maruwa, Lekki, Lagos Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-06-18,12000000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-03-08,12000000
Furnished Mini Flat With Swimming Pool,"Lekki Phase1 By Maruwa, Lekki, Lagos Lekki Lagos",Mini Flat,Lekki,Lagos,1,1,2026-06-17,8000000
2 Bedroom Apartment,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2026-03-08,40000000
Furnished 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-05-20,35000000
2 Bedroom Flat,Near Court Ring Rd Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,2,2,2026-04-11,4000000
Self Contain With Open Kitchen,Agungi Lekki Lagos Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-20,1500000
3 Bedroom Apartment,Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,4,2026-04-19,25000000
Decent 3bed,Gbagada Phase 1 Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,3,4,2026-06-21,5000000
Fully Furnished 2 Bedroom For Rent,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2026-05-31,35000000
Nice 2bedroom Flat,"Osapa London Lekki, Lagos Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-14,7000000
Newly Built Serviced 2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-05,10000000
Furnished & Serviced 3bed..,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,4,2026-02-07,25000000
2 Bedroom Furnished Shared Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-10,1000000
3 Bedroom Apartment,Jahi Gilmore Jahi Abuja,Detached / Semi-Detached Duplex,Jahi,Abuja,3,0,2025-10-12,8000000
Beautiful 2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-16,17000000
Luxury Furnished 2 Bedroom For Rent,Ikate Lekki Lagos,Luxury Apartment,Lekki,Lagos,2,2,2026-06-02,16500000
3 Bedroom Flat,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-03-06,12000000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-03-06,20000000
Furnished & Serviced 3bed..,Ikeja Gra Ikeja Lagos,Detached / Semi-Detached Duplex,Ikeja,Lagos,3,4,2026-06-09,27000000
2 Bedroom Apartment,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,2,2026-03-06,37500000
Furnished 2 Bedroom With 24hours Light For Rent,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-02,12000000
Self Contain With Seat Out,"Ikeja Oregun, Ikeja, Lagos Ikeja Lagos",Detached / Semi-Detached Duplex,Ikeja,Lagos,1,1,2026-06-11,1700009
Fully Furnished 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-11,12000000
2 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-03-08,25000000
3 Bedroom Fully Furnished Apartment,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-03-06,50000000
Luxurious 3 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,4,2026-04-17,40000000
Nice Room With Toilet And Bathroom Inside,"Iyana Yesi, Ado Otta, Ogun State Ado Odo Ota Ogun",Detached / Semi-Detached Duplex,Ota,Ogun,1,1,2026-06-15,180000
One Bedroom Flat,"Lokogoma By Wumba Road, Lokogoma, Abuja Lokogoma Abuja",Detached / Semi-Detached Duplex,Lokogoma,Abuja,1,1,2026-06-22,1200000
3 Bedroom Flat,Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,4,2026-04-17,27000000
Spacious 2 Bedroom Penthouse,Parkview Estate Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,2,3,2026-04-17,20000000
Serviced Furnished 2bedroom Flat,"Lekki Phase 1 By Maruwa, Lekki, Lagos Lekki Lagos",Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-20,11000000
3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-03-07,14000000
Brand New 2bed..,Ifako Gbagada Gbagada Lagos,Detached / Semi-Detached Duplex,Gbagada,Lagos,2,3,2026-06-12,5000000
Brand New Two Bedroom Flat,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,10000000
Nee 1 Bedroom Apartment,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-18,10000000
3 Bedroom Apartment,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-03-08,45000000
To Let: ??a Newly Standard 3 Bedroom Flat,Alakia Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,3,3,2026-06-08,1850000
Furnished 4 Bedroom Apartment,Sanusi Fafunwa Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,4,5,2026-05-14,30000000
Newly Built 2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-04-27,7000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-13,7000000
New 3 Bedroom Apartment,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,4,2026-06-17,40000000
Furnished Apartments In Ikoyi,Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,1,1,2026-06-19,37000000
Fully Serviced 2 Bedroom Apartment For Rent,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-03,23000000
2 Bedroom Flat,"Aliri Estate, Olorunda Akobo Ibadan Oyo",Detached / Semi-Detached Duplex,Ibadan,Oyo,2,0,2026-06-08,1300000
3 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-05-14,10000000
New 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-17,25000000
New 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-17,25000000
New 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,4,2026-06-17,30000000
To Let:*30 Nos Of *a Room Self Contained,Soka Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,1,1,2026-06-08,700000
2 Bedroom Apartment,Ologolo Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,0,0,2026-05-13,8000000
New 2 Bedroom Apartment,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,15000000
2 Bedroom Apartment For Rent,Along Lekki Expressway Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-09,10000000
New House 1 Bedroom Apartment For Rent,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-01,10000000
2 Bedroom Apartment In Lekki,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-17,20000000
"A Single Room With Kitchen, Gym And Football Pitch",Agungi Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-16,2200000
Brand New Serviced 1bedroom And 2bedroom,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,1,1,2026-06-06,7500000
New 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-21,10000000
2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-14,8000000
New 2 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,12000000
Furnished 2bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-18,20000000
Lovely Newly Renovated 2 Bedroom Flat,"Miracle Avenue, Opposite Wisebuyer Mall. Magboro Obafemi Owode Ogun",Detached / Semi-Detached Duplex,Owode,Ogun,2,1,2026-06-22,1500000
3 Bedroom Flat,Oluyole Estate Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,3,0,2026-06-10,3000000
Fully Furnished Room And Parlor Self Contained,Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,0,0,2026-06-10,2000000
2 Bedroom Flat,Akobo Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,0,0,2026-06-08,1000000
3 Bedroom Flat,Banana Island Ikoyi Lagos,Detached / Semi-Detached Duplex,Ikoyi,Lagos,3,3,2026-04-28,60000000
New 3 Bedroom Apartment,Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-22,16000000
To Let: A Fully Furnished Room And Parlor,Samonda Ibadan Oyo,Detached / Semi-Detached Duplex,Ibadan,Oyo,1,1,2026-06-10,2000000
Furnished 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-05-03,20000000
New 3 Bedroom Apartment,Ikate Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,3,3,2026-04-14,20000000
Furnished Luxury Apartments In Ikoyi,Ikoyi Lagos,Luxury Apartment,Ikoyi,Lagos,1,1,2026-06-19,32000000
2 Bedroom Apartment,Victoria Island Lagos,Detached / Semi-Detached Duplex,Victoria Island,Lagos,2,2,2026-05-22,40000000
New 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,2,2026-06-03,25000000
New 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos,Detached / Semi-Detached Duplex,Lekki,Lagos,2,3,2026-06-21,20000000
2 Bedroom Apartment For Rent,Sangotedo Lagos,Detached / Semi-Detached Duplex,Sangotedo,Edo,2,2,2026-06-16,4000000
